Backends,dask,pandas,duckdb,trino,snowflake,bigquery,clickhouse,postgres,polars,pyspark,mysql,impala,sqlite,mssql,datafusion
`ApproxMedian`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`Arbitrary`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ArgMax`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ArgMin`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ArrayCollect`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ArrayColumn`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ArrayConcat`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ArrayIndex`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ArrayLength`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ArrayRepeat`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`ArraySlice`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`Asin`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Atan2`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Atan`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`BaseConvert`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`BetweenTime`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`BitAnd`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`BitOr`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`BitXor`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`BitwiseAnd`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`BitwiseLeftShift`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`BitwiseNot`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`BitwiseOr`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`BitwiseRightShift`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`BitwiseXor`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`Bucket`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`Capitalize`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified }
`Cast`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`CategoryLabel`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`Ceil`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Clip`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`Coalesce`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`Correlation`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`Cos`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Cot`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`CountDistinct`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`CountStar`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Count`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Covariance`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`CumeDist`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`CumulativeAll`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`CumulativeAny`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`CumulativeMax`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`CumulativeMean`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`CumulativeMin`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`CumulativeSum`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`DateAdd`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`DateDiff`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`DateFromYMD`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`DateSub`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
